retailer_id,country_id,product_id,revenue,gross_revenue,sales_plan,quantity,quantity_returned,date_id
147,6,26,6399.6,2133.0,5921.0,20.0,,1
147,6,19,16800.0,6300.0,14660.0,70.0,,1
147,6,21,700.0,116.6,611.0,20.0,,1
147,6,42,5760.0,1920.24,5027.0,36.0,,1
147,6,60,800.0,400.0,698.0,40.0,,1
147,6,47,2730.0,847.14,2382.0,42.0,,1
147,6,110,2400.0,1200.0,2095.0,20.0,,1
147,6,54,2861.46,953.64,2646.0,54.0,,1
147,6,69,879.84,293.2,798.0,8.0,,1
147,6,55,960.0,480.0,797.0,120.0,,1
147,6,56,864.0,432.0,723.0,48.0,,1
147,6,46,2072.0,591.92,1773.0,28.0,,1
147,6,61,3040.0,1520.0,2653.0,76.0,,1
147,6,62,4480.0,1844.64,3996.0,56.0,,1
147,6,44,8319.84,2773.2,7552.0,24.0,,1
147,6,63,2520.0,840.0,2200.0,56.0,,1
147,6,53,2079.48,594.88,1961.0,52.0,,1
147,6,64,2800.0,1400.0,2443.0,70.0,,1
92,4,30,,,1396.0,,128.0,1
104,3,11,6300.0,1800.0,10054.0,18.0,,1
104,3,23,783.84,261.2,1668.0,8.0,,1
170,13,108,6799.84,3022.08,17062.0,8.0,,1
170,13,101,5500.0,2444.6,7459.0,10.0,,1
170,13,109,4914.0,2184.0,13652.0,78.0,,1
170,13,106,10927.98,3422.72,51211.0,14.0,,1
170,13,111,4320.0,2356.8,12497.0,24.0,,1
170,13,112,558.0,186.0,696.0,62.0,,1
170,13,114,1600.0,960.0,2170.0,8.0,,1
132,11,106,18013.0,7291.2,18018.0,20.0,,2
132,11,102,8845.56,4274.16,20787.0,12.0,,2
132,11,110,1998.0,918.0,4460.0,18.0,,2
132,11,112,615.6,183.6,714.0,72.0,,2
96,4,32,6750.0,2249.1,16506.0,270.0,,2
92,4,10,2040.0,840.0,2794.0,120.0,,2
92,4,67,8676.72,2634.84,7778.0,52.0,,2
96,4,102,3199.92,1676.12,2321.0,4.0,,2
92,4,68,5759.04,1328.64,8932.0,96.0,,2
96,4,105,16337.76,7443.36,44681.0,16.0,,2
92,4,81,3680.0,1840.0,3346.0,46.0,,2
92,4,23,3527.28,1175.4,3165.0,36.0,,2
96,4,31,1620.0,810.0,1207.0,108.0,,2
96,4,106,9649.8,4288.9,7149.0,10.0,,2
92,4,4,2074.08,334.08,3377.0,348.0,,2
96,4,97,350.0,100.0,279.0,10.0,,2
92,4,2,2012.64,463.68,1809.0,168.0,,2
115,3,3,659.4,181.5,636.0,30.0,,3
113,3,70,2400.0,800.0,1626.0,20.0,,3
115,3,5,1300.0,390.78,1205.0,26.0,,3
